"STATE X Y"
"Andhra Pradesh 240.0 174.0"
"Arunachal Pradesh -91.0 -86.0"
"Assam 181.0 118.0"
"Bihar 45.0 108.0"
"Chhattisgarh -41.0 11.0"
"Goa -207.0 -98.0"
"Gujarat -239.0 60.0"
"Haryana -129.0 183.0"
"Himachal Pradesh -99.0 240.0"
"Jharkhand 35.0 62.0"
"Jammu & Kashmir -111.0 328.0"
"Karnataka -176.0 -117.0"
"Kerala -156.0 -216.0"
"Madhya Pradesh -108.0 59.0"
"Maharashtra -190.0 -20.0"
"Manipur 207.0 83.0"
"Meghalaya 147.0 99.0"
"Mizoram 189.0 53.0"
"Nagaland 221.0 114.0"
"Odisha -5.0 -4.0"
"Punjab -140.0 226.0"
"Rajasthan -188.0 131.0"
"Sikkim 103.0 149.0"
"Tamil Nadu -118.0 -193.0"
"Telangana -101.0 -50.0"
"Tripura 157.0 62.0"
"Uttar Pradesh -59.0 140.0"
"Uttarakhand -57.0 205.0"
"West Bengal 96.0 48.0"
