state,X,Y
Andhra-Pradesh,-89,-90
Arunachal-Pradesh,240,174
Assam,181,118
Bihar,45,108
Chhattisgarh,-41,11
Goa,-210,-100
Gujarat,-239,60
Haryana,-127,183
Himachal-Pradesh,-99,240
Jharkhand,35,62
Jammu-Kashmir,-111,328
Karnataka,-170,-117
Kerala,-152,-216
Madhya-Pradesh,-105,59
Maharashtra,-190,-20
Manipur,207,83
Meghalaya,147,99
Mizoram,189,53
Nagaland,221,114
Odisha,-5,0
Punjab,-140,226
Rajasthan,-188,131
Sikkim,103,149
Tamil-Nadu,-118,-193
Telangana,-101,-50
Tripura,157,62
Uttar-Pradesh,-57,143
Uttarakhand,-55,205
West-Bengal,96,48
